province,district,street,price_unit,price_value,price_absolute,area,type,front,room,toilet,floor,attributes
1,6,Xã Đàn 2,1,27.5,27500.0,89.0,1,4.5,5,5,4,"Kinh doanh, Ngõ"
1,6,Láng,1,10.7,10700.0,50.0,1,5.56,14,7,5,"Dòng tiền, Ngõ"
1,6,Tây Sơn,1,7.9,7900.0,30.0,1,5.0,4,5,5,"Ô tô, Kinh doanh, Ngõ"
1,6,Nguyễn Lương Bằng,1,51.0,51000.0,120.0,1,4.2,6,4,4,"Ô tô, Mặt phố, Kinh doanh"
1,6,Văn Chương,1,3.68,3680.0,20.0,1,3.6,4,3,4,Ngõ
1,6,Chùa Láng,1,10.2,10200.0,80.0,1,6.0,10,10,4,Dòng tiền
1,6,Phương Mai,1,8.7,8700.0,36.0,1,3.4,6,3,4,Ngõ
1,6,Trường Chinh,1,7.4,7400.0,40.0,1,4.0,6,4,4,Ngõ
1,6,Văn Hương,1,3.29,3290.0,23.0,1,3.0,3,3,3,Ngõ
1,6,Tôn Đức Thắng,1,6.8,6800.0,13.0,1,2.4,4,1,4,"Ô tô, Mặt phố, Kinh doanh, Dòng tiền"
1,6,Nguyễn Lương Bằng,1,12.6,12600.0,60.0,1,3.5,6,3,3,"Ô tô, Ngõ"
1,6,Phạm Ngọc Thạch,1,6.2,6200.0,50.0,1,2.0,6,3,4,"Kinh doanh, Dòng tiền"
1,6,Hồ Văn Chương,1,5.25,5250.0,25.0,1,3.5,4,5,5,"Ô tô, Kinh doanh, Ngõ"
1,6,Yên Lãng,1,13.5,13500.0,60.0,1,3.5,10,6,6,"Ô tô, Ngõ"
1,6,Khương Thượng,1,20.5,20500.0,71.0,1,5.7,4,2,3,"Mặt phố, Kinh doanh, Ô tô"
1,6,Cát Linh,1,9.5,9500.0,30.0,1,3.8,4,1,4,"Ô tô, Mặt phố, Kinh doanh, Dòng tiền"
1,6,Chùa Láng,1,11.2,11200.0,51.0,1,3.1,7,3,5,Ngõ
1,6,Thái Thịnh,1,5.5,5500.0,31.0,1,3.3,3,2,3,Ngõ
1,6,Phương Mai,1,20.0,20000.0,65.0,1,2.8,6,3,4,Ngõ
1,6,Quan Thổ 1,1,11.9,11900.0,61.5,1,4.0,4,2,2,"Kinh doanh, Ngõ"
1,6,Tây Sơn,1,16.2,16200.001,52.0,1,3.2,5,3,4,Ngõ
1,6,Tôn Đức Thắng,1,4.25,4250.0,20.0,1,2.3,6,5,6,Ngõ
1,6,Xã Đàn 3,1,7.5,7500.0,31.0,1,3.8,6,6,6,"Kinh doanh, Dòng tiền, Ngõ"
1,6,Hoàng Cầu,1,56.0,56000.0,168.0,1,7.5,5,5,5,"Mặt phố, Kinh doanh, Ô tô, Thang máy"
1,6,Chùa Bộc,1,41.9,41900.0,48.0,1,6.2,5,1,4,"Ô tô, Mặt phố, Kinh doanh, Dòng tiền"
1,6,Tôn Đức Thắng,1,7.85,7850.0,38.0,1,4.5,3,3,4,Ngõ
1,6,Lan Bá,1,5.4,5400.0,38.0,1,5.0,3,3,3,Ngõ
1,6,Hòa Bình,1,6.35,6350.0,46.0,1,3.3,4,4,3,Ngõ
1,6,Tây Sơn,1,18.0,18000.0,64.0,1,4.5,4,4,4,"Ô tô, Kinh doanh, Dòng tiền, Ngõ"
1,6,Tôn Đức Thắng,1,5.68,5680.0,40.0,1,3.6,3,3,4,Ngõ
1,6,Vũ Thạnh,1,25.5,25500.0,86.0,1,7.0,6,2,8,"Ô tô, Kinh doanh, Dòng tiền, Thang máy, Ngõ"
1,6,Đường Láng,1,16.8,16800.0,40.0,1,3.3,6,5,5,"Mặt phố, Kinh doanh"
1,6,Tam Khương,1,25.2,25200.0,70.0,1,5.0,10,5,5,"Ô tô, Mặt phố, Kinh doanh"
1,6,Ngô Sỹ Liên,1,17.0,17000.0,52.0,1,5.3,5,4,4,"Dòng tiền, Ngõ"
1,6,Vũ Ngọc Phan,1,8.9,8900.0,62.0,1,5.0,6,2,4,"Ô tô, Kinh doanh, Dòng tiền, Ngõ"
1,6,Tôn Thất Tùng,1,4.6,4600.0,24.0,1,2.3,4,3,4,"Kinh doanh, Ngõ"
1,6,Tôn Đức Thắng,1,1.4,1400.0,11.0,1,2.5,2,1,5,"Kinh doanh, Ngõ"
1,6,Tây Sơn,1,11.9,11900.0,31.0,1,3.2,6,6,6,"Ô tô, Mặt phố"
1,6,Tôn Đức Thắng,1,9.9,9900.0,30.0,1,3.6,6,6,6,"Mặt phố, Kinh doanh, Ô tô"
1,6,Tôn Đức Thắng,1,4.65,4650.0,35.0,1,7.3,3,2,3,Ngõ
1,6,Tôn Thất Tùng,1,4.6,4600.0,24.0,1,2.3,6,4,4,"Kinh doanh, Ngõ"
1,6,Thái Hà,1,4.5,4500.0,22.0,1,3.1,3,2,3,Ngõ
1,6,Đường Láng,1,7.5,7500.0,36.0,1,5.2,6,5,5,"Ô tô, Mặt phố, Kinh doanh, Dòng tiền"
1,6,Thái Thịnh,1,7.2,7200.0,38.0,1,3.0,8,4,5,"Kinh doanh, Dòng tiền, Ngõ"
1,6,Văn Hương,1,3.35,3350.0,25.0,1,4.5,5,4,4,Ngõ
1,6,Tô Tiền,1,3.45,3450.0,23.0,1,2.6,3,2,4,Ngõ
1,6,Pháo Đài Láng,1,19.0,19000.0,160.0,1,6.5,2,2,3,Kinh doanh
1,6,Quốc Tử Giám,1,25.0,25000.0,41.0,1,4.0,3,3,4,"Mặt phố, Kinh doanh"
1,6,Trường Chinh,1,15.5,15500.0,52.0,1,4.5,4,4,3,"Ô tô, Mặt phố, Kinh doanh"
1,6,Láng,1,6.65,6650.0,30.0,1,3.8,3,3,5,Ngõ
1,6,Cát Linh,1,8.1,8100.0005,30.0,1,3.7,3,3,3,"Ô tô, Kinh doanh, Ngõ"
1,6,Tây Sơn,1,18.9,18900.0,54.0,1,16.0,6,3,4,"Ô tô, Kinh doanh, Thang máy, Ngõ"
