province,district,street,price_unit,price_value,price_absolute,area,type,front,room,toilet,floor,attributes
01,006,Tây Sơn,1,7.2,7200.0,50.0,1,6.0,6,4,4,"Dòng tiền, Ngõ"
01,006,Đê La Thành,1,8.5,8500.0,60.0,1,5.6,6,3,4,"Ô tô, Kinh doanh, Ngõ"
01,006,Tôn Đức Thắng,1,32.5,32500.0,72.0,1,4.5,6,2,4,Mặt phố
01,006,La Thành,1,28.8,28800.0,118.0,1,3.5,17,0,7,Dòng tiền
01,006,Thái Hà,1,12.0,12000.0,61.0,1,4.6,4,4,4,Ô tô
01,006,Mai Anh Tuấn,1,150.0,150000.0,258.0,1,11.0,0,0,5,Kinh doanh
01,006,Nguyễn Lương Bằng,1,6.0,6000.0,42.0,1,5.6,6,4,4,Ngõ
01,006,Láng Hạ,1,60.0,60000.0,129.0,1,5.9,8,4,4,"Ô tô, Mặt phố, Kinh doanh"
01,006,Trung Tả,1,9.5,9500.0,60.0,1,6.0,6,0,4,"Ô tô, Kinh doanh, Ngõ"
01,006,Láng,1,7.5,7500.0,33.0,1,3.0,5,5,5,Ngõ
01,006,Chợ Khâm Thiên,1,2.05,2050.0,18.0,1,4.0,5,0,5,Ngõ
01,006,Chợ Khâm Thiên,1,2.48,2480.0,18.0,1,3.1,4,3,4,Ngõ
01,006,Trần Quang Diệu,1,39.0,39000.0,87.0,1,5.2,2,1,4,"Ô tô, Kinh doanh, Dòng tiền, Ngõ"
01,006,"Vạn Ứng, phố Chợ Khâm Thiên",1,2.8,2800.0,27.0,1,4.42,0,0,4,"Kinh doanh, Ngõ"
01,006,Linh Quang,1,15.96,15960.0,133.0,1,3.0,0,0,11,Ngõ
01,006,Chợ Khâm Thiên,1,4.6,4600.0,32.0,1,4.0,3,0,4,Ngõ
01,006,Nguyễn Chí Thanh,1,13.2,13200.0,48.0,1,4.3,4,1,4,Ngõ
01,006,Trường Chinh,1,9.9,9900.0,50.0,1,4.4,4,2,2,"Ô tô, Kinh doanh, Ngõ"
01,006,Hào Nam,1,20.0,20000.0,62.0,1,6.0,8,6,7,"Ô tô, Thang máy, Kinh doanh"
01,006,E4 Nguyễn Văn Tuyết,1,4.5,4500.0,50.0,1,2.5,3,1,2,"Ô tô, Mặt phố, Kinh doanh"
01,006,Chợ Khâm Thiên,1,5.5,5500.0,62.0,1,5.3,7,3,4,Ngõ
