province,district,street,price_unit,price_value,price_absolute,area,type,front,room,toilet,floor,attributes
01,005,Mặt phố Nguyễn Thị Định,1,35.0,35000.0,51.0,1,4.1,4,2,5,"Mặt phố, Kinh doanh"
01,005,Trần Quốc Hoàn,1,13.8,13800.0,45.0,1,4.1,10,6,6,"Ô tô, Kinh doanh"
01,005,Quan Hoa,1,14.0,14000.0,60.0,1,6.8,11,11,5,
01,005,Cầu Giấy,1,7.5,7500.0,33.0,1,4.2,5,5,6,
01,005,Cầu Giấy,1,9.7,9700.0,49.0,1,5.0,10,10,6,"Kinh doanh, Dòng tiền, Thang máy"
01,005,Nguyễn Ngọc Vũ,1,25.0,25000.0,102.0,1,4.2,6,0,4,"Ô tô, Kinh doanh, Thang máy"
01,005,Trần Thái Tông,1,12.2,12200.0,51.5,1,5.0,9,9,4,"Kinh doanh, Dòng tiền"
01,005,Cầu Giấy,1,7.2,7200.0,38.0,1,3.8,5,3,5,
01,005,Mặt phố T4 Hoàng Đạo Thúy,1,11.4,11400.0,235.0,1,8.0,6,4,1,"Chung cư, Thang máy, Ô tô"
01,005,Mặt phố Hoa Bằng,1,64.0,64000.0,315.0,1,13.0,2,0,5,
01,005,Nguyễn Khang,1,36.5,36500.0,120.0,1,7.0,10,8,3,"Ô tô, Mặt phố, Kinh doanh"
01,005,Doãn Kế Thiện,1,40.0,40000.0,165.0,1,3.0,60,60,9,"Ô tô, Dòng tiền, Thang máy"
01,005,Nguyễn Ngọc Vũ,1,19.0,19000.0,102.0,1,6.5,0,0,1,"Ô tô, Dòng tiền, Kinh doanh"
01,005,Hoàng Ngân,1,12.8,12800.0,74.0,1,3.3,0,0,-1,
01,005,Lạc Long Quân,1,12.0,12000.0,76.0,1,6.8,0,0,4,
01,005,Dịch,1,4.5,4500.0,26.8,1,8.0,2,2,2,"Kinh doanh, Mặt phố, Ô tô"
01,005,Tràng An Complex số 1 Phùng Chí Kiên,1,9.6,9600.0,93.0,1,3.0,3,2,1,
01,005,Lạc Long Quân,1,6.85,6850.0,50.0,1,3.8,6,4,4,
01,005,Nguyễn Ngọc Vũ,1,16.0,16000.0,82.0,1,4.3,7,0,-1,Ô tô
01,005,Cầu Giấy,1,7.3,7300.0,40.0,1,4.0,7,5,4,
01,005,Cầu Giấy,1,41.0,41000.0,180.0,1,22.0,11,4,5,"Ô tô, Kinh doanh, Thang máy"
01,005,Nguyễn Văn Huyên,1,27.3,27300.0,82.0,1,5.6,6,4,4,"Ô tô, Kinh doanh"
01,005,Dịch Vọng Hậu,1,18.0,18000.0,107.0,1,7.4,20,0,5,"Dòng tiền, Kinh doanh"
01,005,Xuân Thủy,1,6.58,6580.0,39.7,1,5.3,3,4,4,"Mặt phố, Kinh doanh"
01,005,Xuân Thủy,1,8.415,8415.0,51.1,1,5.36,2,2,3,Mặt phố
01,005,Mai dịch,1,15.75,15750.0,75.0,1,4.3,7,5,5,"Mặt phố, Kinh doanh, Ô tô"
01,005,Xuân Thủy,1,13.695,13695.0,83.0,1,4.78,6,4,4,
01,005,"Mặt phố 24T1, P1201, Hoàng Đạo Thúy",1,6.49,6490.0,121.0,1,8.0,3,3,1,
01,005,Mai Dịch,1,18.8,18800.0,82.0,1,4.3,6,2,4,"Ô tô, Kinh doanh"
01,005,Mặt phố Tòa MHDI,1,5.7,5700.0,72.0,1,9.0,2,2,1,"Chung cư, Thang máy"
01,005,Mặt phố Nguyễn Khang,1,26.5,26500.0,48.0,1,3.4,0,0,1,"Ô tô, Mặt phố, Kinh doanh, Dòng tiền"
01,005,Mặt phố Cầu Giấy,1,71.0,71000.0,106.0,1,6.2,0,0,1,"Ô tô, Mặt phố, Kinh doanh"
01,005,Dịch Vọng,1,6.05,6050.0,40.0,1,3.6,7,4,4,
01,005,Nguyễn Chánh,1,23.7,23700.0,60.0,1,4.2,8,1,4,"Ô tô, Kinh doanh"
01,005,Nguyễn Ngọc Vũ,1,36.0,36000.0,200.0,1,5.5,33,2,8,"Ô tô, Dòng tiền, Thang máy"
01,005,TT Văn Hoá Nghệ Thuật Mai Dịch,1,5.5,5500.0,39.0,1,8.0,3,1,1,"Ô tô, Kinh doanh"
01,005,Mặt phố Trung Kính,1,123.0,123000.0,168.0,1,6.3,0,0,1,"Mặt phố, Ô tô, Kinh doanh, Dòng tiền"
01,005,TT Văn công Mai Dịch,1,5.5,5500.0,31.0,1,8.0,2,1,1,"Ô tô, Mặt phố"
01,005,Đông Quan,1,28.5,28500.0,115.0,1,4.2,10,7,6,"Mặt phố, Ô tô, Thang máy, Kinh doanh"
01,005,Cầu Giấy,1,7.5,7500.0,52.0,1,9.4,6,3,4,
01,005,Mặt phố Nguyễn Ngọc Vũ,1,39.0,39000.0,109.0,1,6.5,4,0,4,"Mặt phố, Kinh doanh, Ô tô"
01,005,Hoàng Quốc Việt,1,11.8,11800.0,70.0,1,4.0,6,3,5,Ô tô
01,005,Hoàng Quốc Việt,1,12.8,12800.0,67.0,1,18.0,6,4,3,"Ô tô, Mặt phố, Kinh doanh"
01,005,Mặt phố - N09A KĐT mới Dịch Vọng,1,115.0,115000.0,297.0,1,15.5,0,0,5,"Ô tô, Kinh doanh"
01,005,Mặt phố Trung Kính,1,18.5,18500.0,53.0,1,3.6,8,0,5,"Ô tô, Mặt phố, Kinh doanh, Dòng tiền"
01,005,Chùa Hà,1,14.8,14800.0,60.0,1,4.6,7,3,4,Kinh doanh
01,005,Võ Chí Công,1,16.6,16600.0,76.0,1,6.5,20,0,6,"Thang máy, Dòng tiền"
01,005,Mặt phố Phan Văn Trường,1,10.6,10600.0,33.0,1,3.3,0,0,3,"Ô tô, Kinh doanh"
01,005,Mặt phố Long Number One,1,7.78,7780.0,117.0,1,5.0,3,2,40,
01,005,Tô Hiệu,1,5.8,5800.0,70.0,1,7.0,2,0,1,
01,005,Đường 800A,1,17.5,17500.0,52.0,1,4.1,10,1,6,"Mặt phố, Thang máy, Dòng tiền"
01,005,Nguyễn Khánh Toàn,1,21.0,21000.0,80.0,1,4.2,10,10,6,"Ô tô, Dòng tiền"
01,005,Mặt phố Nguyễn Bá Khoản,1,22.5,22500.0,65.0,1,3.4,2,0,4,Mặt phố
01,005,Phạm Thận Duật,1,19.7,19700.0,54.0,1,3.3,14,0,7,"Ô tô, Kinh doanh, Dòng tiền"
01,005,Mai Dịch,1,15.0,15000.0,47.0,1,5.0,6,3,7,Ô tô
01,005,Mặt phố Xuân Thuỷ,1,44.0,44000.0,103.0,1,4.2,0,0,7,"Ô tô, Mặt phố"
01,005,Phan Văn Trường,1,12.5,12500.0,30.0,1,3.6,10,5,6,"Ô tô, Kinh doanh"
01,005,Hoàng Quốc Việt,1,20.0,20000.0,83.0,1,7.7,10,0,5,"Ô tô, Chung cư"
01,005,Mặt phố Nghĩa Tân,1,45.0,45000.0,53.0,1,15.0,0,0,5,"Ô tô, Mặt phố"
01,005,Hoàng Quốc Việt,1,14.5,14500.0,67.0,1,6.7,0,0,1,
01,005,Mặt phố C5 Tô Hiệu,1,7.5,7500.0,50.0,1,4.0,0,0,1,"Ô tô, Mặt phố, Kinh doanh, Dòng tiền"
01,005,Nguyễn Khang,1,36.5,36500.0,120.0,1,7.0,10,0,3,"Ô tô, Kinh doanh"
01,005,Trần Thái Tông,1,59.0,59000.0,126.0,1,7.2,0,0,1,Ô tô
